Adams,Clayey High Lime Till Plains
Allen,Clayey High Lime Till Plains
Bartholomew,Loamy High Lime Till Plains
Benton,Illinois/Indiana Prairies
Blackford,Clayey High Lime Till Plains
Boone,Loamy High Lime Till Plains
Brown,Knobs-Norman Upland
Carroll,Loamy High Lime Till Plains
Cass,Loamy High Lime Till Plains
Clark,Pre-Wisconsinan Drift Plains
Clay,Glaciated Wabash Lowlands
Clinton,Loamy High Lime Till Plains
Crawford,Crawford-Mammoth Cave Uplands
Daviess,Glaciated Wabash Lowlands
Dearborn,Outer Bluegrass
Decatur,Loamy High Lime Till Plains
DeKalb,Clayey High Lime Till Plains
Delaware,Clayey High Lime Till Plains
Dubois,Crawford-Mammoth Cave Uplands
Elkhart,Battle Creek/Elkhart Outwash Plain
Fayette,Whitewater Interlobate Area
Floyd,Mitchell Plain
Fountain,Loamy High Lime Till Plains
Franklin,Outer Bluegrass
Fulton,Middle Tippecanoe Plains
Gibson,Wabash-Ohio Bottomlands
Grant,Clayey High Lime Till Plains
Greene,Glaciated Wabash Lowlands
Hamilton,Loamy High Lime Till Plains
Hancock,Loamy High Lime Till Plains
Harrison,Mitchell Plain
Hendricks,Loamy High Lime Till Plains
Henry,Whitewater Interlobate Area
Howard,Loamy High Lime Till Plains
Huntington,Clayey High Lime Till Plains
Jackson,Pre-Wisconsinan Drift Plains
Jasper,Sand Area
Jay,Clayey High Lime Till Plains
Jefferson,Pre-Wisconsinan Drift Plains
Jennings,Pre-Wisconsinan Drift Plains
Johnson,Loamy High Lime Till Plains
Knox,Glaciated Wabash Lowlands
Kosciusko,Northern Indiana Lake Country
LaGrange,Battle Creek/Elkhart Outwash Plain
Lake,Valparaiso-Wheaton Morainal Complex
LaPorte,Battle Creek/Elkhart Outwash Plain
Lawrence,Mitchell Plain
Madison,Loamy High Lime Till Plains
Marion,Loamy High Lime Till Plains
Marshall,Battle Creek/Elkhart Outwash Plain
Martin,Crawford-Mammoth Cave Uplands
Miami,Clayey High Lime Till Plains
Monroe,Knobs-Norman Upland
Montgomery,Loamy High Lime Till Plains
Morgan,Knobs-Norman Upland
Newton,Sand Area
Ohio,Outer Bluegrass
Orange,Crawford-Mammoth Cave Uplands
Owen,Crawford-Mammoth Cave Uplands
Parke,Loamy High Lime Till Plains
Perry,Crawford-Mammoth Cave Uplands
Pike,Wabash-Ohio Bottomlands
Poole,Northern Indiana Lake Country
Porter,Valparaiso-Wheaton Morainal Complex
Posey,Wabash-Ohio Bottomlands
Pulaski,Middle Tippecanoe Plains
Putnam,Loamy High Lime Till Plains
Randolph,Clayey High Lime Till Plains
Ripley,Pre-Wisconsinan Drift Plains
Rush,Loamy High Lime Till Plains
Scott,Pre-Wisconsinan Drift Plains
Shelby,Loamy High Lime Till Plains
Spencer,Wabash-Ohio Bottomlands
St. Joseph,Battle Creek/Elkhart Outwash Plain
Starke,Sand Area
Steuben,Northern Indiana Lake Country
Sullivan,Glaciated Wabash Lowlands
Switzerland,Outer Bluegrass
Tippecanoe,Loamy High Lime Till Plains
Tipton,Loamy High Lime Till Plains
Union,Loamy High Lime Till Plains
Vanderburgh,Wabash-Ohio Bottomlands
Vermillion,Glaciated Wabash Lowlands
Vigo,Glaciated Wabash Lowlands
Wabash,Clayey High Lime Till Plains
Warren,Illinois/Indiana Prairies
Warrick,Wabash-Ohio Bottomlands
Washington,Mitchell Plain
Wayne,Whitewater Interlobate Area
Wells,Clayey High Lime Till Plains
White,Sand Area
Whitley,Clayey High Lime Till Plains
