latitude,county
N,Lake
N,Porter
N,LaPorte
N,St. Joseph
N,Elkhart
N,LaGrange
N,Steuben
N,Newton
N,Jasper
N,Starke
N,Pulaski
N,Marshall
N,Fulton
N,Kosciusko
N,Noble
N,Whitley
N,DeKalb
N,Allen
N,Benton
N,White
N,Cass
N,Carroll
N,Miami
N,Howard
N,Wabash
N,Grant
N,Huntington
N,Wells
N,Adams
N,Warren
N,Fountain
N,Tippecanoe
N,Montgomery
N,Clinton
N,Boone
N,Tipton
N,Hamilton
N,Madison
N,Delaware
N,Blackford
N,Jay
N,Randolph
N,Vermillion
N,Parke
N,Putnam
N,Hendricks
N,Marion
N,Hancock
N,Henry
N,Wayne
N,Vigo
N,Clay
N,Owen
N,Morgan
N,Johnson
N,Shelby
N,Rush
N,Fayette
N,Union
N,Sullivan
N,Greene
N,Monroe
N,Brown
N,Bartholomew
N,Decatur
N,Franklin
S,Knox
S,Daviess
S,Martin
N,Lawrence
N,Jackson
N,Jennings
N,Ripley
N,Dearborn
N,Ohio
S,Gibson
S,Pike
S,Dubois
S,Orange
S,Washington
S,Scott
S,Clark
S,Jefferson
S,Switzerland
S,Posey
S,Vanderburgh
S,Warrick
S,Spencer
S,Perry
S,Crawford
S,Harrison
S,Floyd
