latitude,county
N,Lake
N,Porter
N,LaPorte
N,St. Joseph
N,Elkhart
N,LaGrange
N,Steuben
N,Newton
N,Jasper
N,Starke
N,Pulaski
N,Marshall
N,Fulton
N,Kosciusko
N,Noble
N,Whitley
N,DeKalb
N,Allen
M,Benton
M,White
M,Cass
M,Carroll
M,Miami
M,Howard
M,Wabash
M,Grant
M,Huntington
N,Wells
M,Adams
M,Warren
M,Fountain
M,Tippecanoe
M,Montgomery
M,Clinton
M,Boone
M,Tipton
M,Hamilton
M,Madison
M,Delaware
M,Blackford
M,Jay
M,Randolph
M,Vermillion
M,Parke
M,Putnam
M,Hendricks
M,Marion
M,Hancock
M,Henry
M,Wayne
M,Vigo
M,Clay
M,Owen
M,Morgan
M,Johnson
M,Shelby
M,Rush
M,Fayette
M,Union
M,Sullivan
M,Greene
M,Monroe
M,Brown
M,Bartholomew
M,Decatur
M,Franklin
S,Knox
S,Daviess
S,Martin
M,Lawrence
M,Jackson
M,Jennings
M,Ripley
M,Dearborn
M,Ohio
S,Gibson
S,Pike
S,Dubois
S,Orange
S,Washington
S,Scott
S,Clark
S,Jefferson
S,Switzerland
S,Posey
S,Vanderburgh
S,Warrick
S,Spencer
S,Perry
S,Crawford
S,Harrison
S,Floyd
