ScientificName
Ficus carica
Tripleurospermum inodorum
Argemone mexicana
Bromus briziformis
Dicliptera brachiata
Justicia americana
Ruellia caroliniensis
Ruellia caroliniensis subsp. caroliniensis
Ruellia humilis
Ruellia strepens
Acorus americanus
Acorus calamus
Sambucus canadensis
Sambucus nigra
Sambucus racemosa
Viburnum acerifolium
Viburnum cassinoides
Viburnum dentatum
Viburnum dentatum var. dentatum
Viburnum dentatum var. lucidum
Viburnum dilatatum
Viburnum lantana
Viburnum lentago
Viburnum molle
Viburnum opulus
Viburnum plicatum
Viburnum prunifolium
Viburnum rafinesquianum
Viburnum rufidulum
Viburnum sieboldii
Viburnum trilobum
Alisma subcordatum
Alisma triviale
Echinodorus berteroi
Echinodorus cordifolius
Echinodorus cordifolius subsp. cordifolius
Echinodorus tenellus
Sagittaria australis
Sagittaria brevirostra
Sagittaria cuneata
Sagittaria graminea
Sagittaria graminea subsp. graminea
Sagittaria latifolia
Sagittaria montevidensis
Sagittaria montevidensis subsp. calycina
Sagittaria rigida
Liquidambar styraciflua
Achyranthes japonica
Achyranthes japonica var. hachijoensis
Amaranthus albus
Amaranthus blitoides
Amaranthus hybridus
Amaranthus palmeri
Amaranthus powellii
Amaranthus retroflexus
Amaranthus spinosus
Amaranthus tuberculatus
Atriplex littoralis
Atriplex patula
Atriplex prostrata
Bassia scoparia
Chenopodiastrum murale
Chenopodiastrum simplex
Chenopodium album
Chenopodium berlandieri
Chenopodium berlandieri var. bushianum
Chenopodium berlandieri var. macrocalycium
Chenopodium berlandieri var. zschackei
Chenopodium capitatum
Chenopodium capitatum var. capitatum
Chenopodium glaucum
Chenopodium glaucum var. glaucum
Chenopodium pallescens
Chenopodium pratericola
Chenopodium standleyanum
Chenopodium urbicum
Corispermum americanum
Corispermum americanum var. americanum
Corispermum nitidum
Corispermum pallasii
Cycloloma atriplicifolium
Dysphania ambrosioides
Dysphania anthelmintica
Dysphania botrys
Froelichia floridana
Froelichia gracilis
Iresine rhizomatosa
Monolepis nuttalliana
Salsola collina
Salsola tragus
Suaeda calceoliformis
Allium canadense
Allium canadense var. canadense
Allium cernuum
Allium sativum
Allium schoenoprasum
Allium stellatum
Allium tricoccum
Allium tricoccum var. burdickii
Allium tricoccum var. tricoccum
Allium vineale
Galanthus nivalis
Hymenocallis occidentalis
Hymenocallis occidentalis var. occidentalis
Leucojum aestivum
Narcissus poeticus
Narcissus pseudonarcissus
Narcissus × incomparabilis
Narcissus × medioluteus
Nothoscordum bivalve
Cotinus coggygria
Rhus aromatica
Rhus aromatica var. arenaria
Rhus aromatica var. aromatica
Rhus copallinum
Rhus glabra
Rhus typhina
Rhus × borealis
Toxicodendron radicans
