"","Acer saccharinum","Acer saccharum","Aesculus glabra","Asimina triloba","Carpinus caroliniana","Carya glabra","Cephalanthus occidentalis","Cercis canadensis","Cornus drummondii","Crataegus pruinosa","Euonymus atropurpureus","Fagus grandifolia","Fraxinus americana","Fraxinus pennsylvanica","Fraxinus profunda","Gleditsia triacanthos","Ilex verticillata","Morus rubra","Nyssa sylvatica","Ostrya virginiana","Populus deltoides","Populus heterophylla","Populus tremuloides","Prunus serotina","Ptelea trifoliata","Quercus imbricaria","Quercus macrocarpa","Quercus palustris","Quercus rubra","Quercus shumardii","Rhus glabra","Salix amygdaloides","Salix eriocephala","Salix interior","Sambucus canadensis","Staphylea trifolia","Tilia americana","Viburnum prunifolium","Acer negundo","Acer rubrum","Betula alleghaniensis","Carya cordiformis","Carya laciniosa","Carya ovata","Celtis occidentalis","Cornus alternifolia","Cornus sericea","Hamamelis virginiana","Platanus occidentalis","Quercus alba","Quercus bicolor","Quercus muehlenbergii","Quercus velutina","Rhus typhina","Salix bebbiana","Salix discolor","Salix lucida","Salix nigra","Salix petiolaris","Sassafras albidum","Toxicodendron vernix","Ulmus americana","Ulmus rubra","Ulmus thomasii","Viburnum lentago","Zanthoxylum americanum","Betula nigra","Fraxinus quadrangulata","Robinia pseudoacacia","Cornus florida","Fraxinus nigra","Juglans nigra","Alnus serrulata","Cladrastis kentukea","Diospyros virginiana","Juglans cinerea","Amelanchier interior","Aesculus flava","Amelanchier arborea","Aralia spinosa","Castanea dentata","Chionanthus virginicus","Frangula caroliniana","Liquidambar styraciflua","Liriodendron tulipifera","Magnolia acuminata","Populus balsamifera","Prunus angustifolia","Quercus coccinea","Quercus marilandica","Quercus michauxii","Quercus stellata","Viburnum rufidulum","Celtis tenuifolia","Magnolia tripetala","Quercus falcata","Ulmus alata","Cornus foemina","Ilex decidua","Quercus lyrata","Maclura pomifera","Sambucus racemosa","Alnus incana","Crataegus viridis","Quercus ellipsoidalis","Quercus prinoides","Prunus hortulana","Catalpa speciosa","Celtis laevigata","Forestiera acuminata","Gleditsia aquatica","Quercus pagoda","Salix caroliniana","Catalpa bignonioides","Carya pallida","Crataegus intricata","Prunus pensylvanica","Betula papyrifera","Robinia viscosa","Robinia hispida","Prunus mexicana","Oxydendrum arboreum","Sideroxylon lycioides","Sambucus nigra","Crataegus phaenopyrum"
"Adams",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allen",0,1,2,1,1,4,2,1,1,4,1,1,1,1,0,0,2,0,2,1,1,1,3,1,2,1,0,0,3,0,2,0,0,1,2,1,4,1,1,8,7,1,3,4,1,1,1,2,1,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bartholomew",0,0,1,1,1,2,0,1,1,0,1,0,0,2,1,0,1,1,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,1,1,0,1,0,2,0,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benton",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blackford",0,0,0,0,1,0,3,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,1,1,1,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boone",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brown",0,2,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carroll",0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cass",1,1,1,1,1,0,2,0,0,0,1,2,0,1,0,0,0,0,1,2,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clark",1,1,0,1,3,0,3,1,0,2,1,1,2,1,0,1,1,2,1,0,1,2,0,2,0,1,0,0,1,0,2,0,0,0,2,2,5,0,1,2,0,1,0,9,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,1,3,1,3,1,1,1,2,1,1,1,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clay",0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clinton",0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crawford",1,3,1,1,1,1,1,1,0,0,1,1,2,1,0,0,1,1,1,2,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,1,5,1,1,1,4,1,1,2,3,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,4,1,1,0,0,0,3,1,0,1,3,7,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daviess",0,5,0,0,1,8,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,2,0,2,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dearborn",0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,1,0,1,4,1,1,2,0,0,0,0,0,0,2,2,1,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decatur",0,1,1,1,1,2,0,1,4,6,1,1,2,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,2,1,2,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeKalb",1,1,1,1,0,0,2,0,0,0,1,1,0,2,0,0,1,0,0,1,2,1,1,0,0,0,0,0,1,0,1,1,2,1,1,0,1,1,1,1,0,1,0,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delaware",0,1,2,1,1,3,0,1,1,2,1,2,2,2,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,0,2,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dubois",0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elkhart",1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,2,1,2,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,3,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fayette",0,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Floyd",0,0,0,0,0,3,0,1,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fountain",0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,2,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franklin",0,1,1,0,2,8,0,2,3,0,1,1,0,0,0,2,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,2,1,0,0,0,1,3,1,0,1,0,2,0,1,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fulton",0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,1,0,1,2,1,0,0,1,1,1,0,0,0,0,0,1,2,1,1,1,1,1,1,0,1,1,0,0,1,1,2,0,0,1,0,0,2,1,2,2,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gibson",2,7,1,0,1,6,4,2,5,1,1,1,1,4,2,2,0,1,3,1,1,1,0,1,1,2,3,1,0,14,1,0,0,0,1,1,6,2,1,2,0,3,4,1,1,0,0,0,0,0,1,4,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grant",1,1,0,1,1,9,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greene",1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton",1,1,1,0,1,0,0,1,1,0,0,0,25,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hancock",0,2,1,1,1,0,0,1,2,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harrison",1,4,1,1,1,4,2,1,1,1,1,1,1,0,0,1,1,1,3,1,1,1,0,1,1,1,0,1,1,0,1,0,0,2,1,1,1,0,1,1,0,2,1,3,4,0,0,1,2,1,0,1,1,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,2,1,0,2,1,1,1,0,0,0,4,1,1,5,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
